All,Kaikki
"%1 cache type(s) refreshed.","%1 välimuistityyppi(ä) virkistetty."
"An error occurred while refreshing cache.","Tapahtui virhe välimuistia päivitettäessä."
Dashboard,Hallintasivu
"We updated lifetime statistic.","Elinikäiset tilastot päivitettiin."
"We can't refresh lifetime statistics.","Elinaikaisia tilastoja ei voida päivittää."
"invalid request","pyyntö ei kelpaa"
"see error log for details","katso lisätietoja virhelokista"
"Service unavailable: %1","Palvelu ei ole käytettävissä: %1"
"Access Denied.","Käyttö estetty."
"You need more permissions to do this.","Tämän suorittamiseksi tarvitaan enemmän käyttöoikeuksia."
"No search modules were registered","Yhtään hakumoduulia ei rekisteröity"
"Please make sure that all global admin search modules are installed and activated.","Varmista, että kaikki jokaisesta ohjelman osasta käytettävissä olevat järjestelmänvalvojan haku-moduulit ovat asennettu ja aktivoitu."
"You saved the account.","Tili tallennettiin."
"An error occurred while saving account.","Tapahtui virhe tiliä tallennettaessa."
"You deleted the design change.","Poistit ulkoasun muutoksen."
"You can't delete the design change.","Et voi poistaa ulkoasun muutosta."
"Store Design","Kaupan ulkoasu"
"Edit Store Design Change","Muokkaa kaupan ulkoasun muutosta"
"You saved the design change.","Ulkoasun muutos tallennettiin."
System,Järjestelmä
"Manage Stores","Hallinnoi kauppoja"
"The database was backed up.","Tietokanta on varmuuskopioitu."
"We can't create a backup right now. Please try again later.","Varmuuskopiota ei voida luoda juuri nyt. Yritä myöhemmin uudelleen."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Poistettaessa %1, %1 liittyvä tieto jää jäljelle (luokat, tuotteet, jne), mutta %1 ei voida enää palauttaa. On suositeltavaa luoda varmuuskopio tietokannasta ennen %1 poistamista."
"Something went wrong. Please try again.","Jokin meni vikaan. Yritä uudelleen."
"This store cannot be deleted.","Tätä kauppaa ei voi poistaa."
"You deleted the store.","Poistit kaupan."
"Unable to delete the store. Please try again later.","Kauppaa ei voida poistaa. Yritä myöhemmin uudelleen."
"This store view cannot be deleted.","Tätä kauppanäkymää ei voi poistaa."
"Store View",Kauppanäkymä
"You deleted the store view.","Kauppanäkymä poistettiin."
"Unable to delete the store view. Please try again later.","Kauppanäkymää ei voida poistaa. Yritä myöhemmin uudelleen."
"This website cannot be deleted.","Tätä sivustoa ei voida poistaa."
"You deleted the website.","Poistit sivuston."
"Unable to delete the website. Please try again later.","Sivustoa ei voida poistaa. Yritä myöhemmin uudelleen."
"The website does not exist.","Sivustoa ei ole olemassa."
"Before modifying the website code please make sure it is not used in index.php.","Varmista ennen sivuston koodin muokkaamista ettei se ole käytössä index.php-tiedostossa."
"The store does not exist","Kauppaa ei ole olemassa"
"Store view doesn't exist","Kauppanäkymää ei ole olemassa"
"Before modifying the store view code please make sure it is not used in index.php.","Varmista ennen kauppanäkymän koodin muokkaamista, ettei se ole käytössä index.php-tiedostossa."
"New ","Uusi "
"All Stores","Kaikki kaupat"
"You saved the website.","Tallensit sivuston."
"The default store cannot be disabled","Oletuskauppaa ei voi poistaa käytöstä"
"You saved the store view.","Tallensit kauppanäkymän."
"An inactive store view cannot be saved as default store view","Passiivista kauppanäkymää ei voi tallentaa oletusnäkymäksi"
"You saved the store.","Tallensit kaupan."
"Something went wrong while saving. Please review the error log.","Tapahtui virhe tallennettaessa. Tarkista virheloki."
"Authentication storage is incorrect.","Virheellinen todennusvarasto."
Today,Tänään
"Last 24 Hours","Viimeiset 24 tuntia"
"Last 7 Days","Edelliset 7 päivää"
"Current Month","Nykyinen kuukausi"
YTD,"Vuoden alusta"
Order,Tilaus
"Order #%1","Tilausnumero %1"
"Sorry, you need permissions to view this content.","Valitan, sinulla ei ole oikeutta tälle sivulle."
"Next steps","Seuraavat askeleet"
"If you think this is an error, try signing out and signing in again.","Jos luulet, että tämä on virhe, yritä kirjautua ulos ja kirjautua uudelleen."
"Contact a system administrator or store owner to gain permissions.","Ota yhteyttä järjestelmänvalvojaan tai sivuston omistajaan saadaksesi tarvittavat käyttöoikeudet."
"previous page","edellinen sivu"
"Welcome, please sign in","Tervetuloa, kirjaudu sisään"
Username,Käyttäjätunnus
"user name",käyttäjänimi
Password,Salasana
password,salasana
"Sign in","Kirjaudu sisään"
"No Data Found","Tietoja ei löytynyt"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Kaavio ei ole käytössä. Klikkaa <a href=""%1"">tästä</a> ottaaksesi kaavion käyttöön."
"Select Range:","Valitse rajaukset:"
"Last Orders","Edelliset tilaukset"
"Last Search Terms","Viimeisimmät hakutermit"
"Top Search Terms","Käytetyimmät hakusanat"
"There are no search keywords.","Hakusanoja ei ole syötetty."
"View Statistics For:","Näytä tilastot:"
"All Websites","Kaikki sivustot"
"Reload Data","Uudelleenlataa tiedot"
"Browse Files...","Selaa tiedostoja..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Copyright &copy; %1 Magento Commerce Inc. Kaikki oikeudet pidätetään."
"Magento Admin Panel","Magento hallintapaneeli"
"Account Setting",Tiliasetukset
"Customer View",Asiakasnäkymä
"Sign Out","Kirjaudu ulos"
"About the calendar","Tietoja kalenterista"
"Go Today","Siirry päivään"
Time,Aika
Hour,Tunti
Minute,Minuutti
"JavaScript may be disabled in your browser.","Selaimesi JavaScript ei mahdollisesti ole käytössä."
"To use this website you must first enable JavaScript in your browser.","Käyttääksesi tätä sivustoa, JavaScript on otettava käyttöön selaimessasi."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Tämä verkkokauppa on vain esittelykäytössä. Voit selata tuotteita ja tehdä tilauksia, mutta mitään ei käsitellä."
"Report an Issue","Ongelmasta ilmoittaminen"
"Stores Configuration","Kaupan asetukset"
"Additional Cache Management","Lisävälimuistin hallinta"
"Flush Catalog Images Cache","Tyhjennä katalogikuvien välimuisti"
"Pregenerated product images files","Etukäteen luodut tuotekuva-tiedostot"
"Flush JavaScript/CSS Cache","Tyhjennä JavaScript-/CSS-välimuisti"
"Themes JavaScript and CSS files combined to one file","Teeman JavaScript ja CSS-tiedostot yhdistetty yhteen tiedostoon"
"Flush Static Files Cache","Tyhjennä staattiset tiedostojen välimuisti"
"Preprocessed view files and static files","Esikäsitellyt view- ja static-tiedostot"
Catalog,Katalogi
"JavaScript/CSS Cache",JavaScript/CSS-välimuisti
"No records found.","Tuloksia ei löytynyt."
Images,Kuvat
"Big Image","Iso kuva"
Thumbnail,Pienoiskuva
"Additional Settings",Lisäasetukset
"records found","merkintää löytyi"
selected,valittu
"Previous page","Edellinen sivu"
"of %1","/ %1"
"Next page","Seuraava sivu"
"Export to:",Vieminen:
"Mass Actions",Massatoiminnot
"Unselect All","Poista kaikki valinnat"
"Select Visible","Valitse näkyvä"
"Unselect Visible","Poista valinta näkyvältä osalta"
"Changes have been made to this section that have not been saved.","Tähän tallentamattomaan osioon on tehty muutoksia."
"This tab contains invalid data. Please resolve this before saving.","Tämä välilehti sisältää virheellisiä tietoja. Selvitä virheelliset tiedot ennen tallentamista."
"The information in this tab has been changed.","Tämän välilehden tietoja on muutettu."
Loading...,Ladataan...
"User Agent Rules","Käyttäjäagentin säännöt"
"Previous Page","Edellinen sivu"
"Next Page","Seuraava sivu"
"Use Default Value","Käytä oletusarvoa"
"We could not detect a size.","Kokoa ei voitu tunnistaa."
"Please confirm scope switching. All data that hasn't been saved will be lost.","Vahvista kohdekaupan vaihtaminen. Kaikki tallentamattomat tiedot menetetään."
"Warning message",Varoitus
"This operation can take a long time","Tämä toiminto voi kestää kauan"
"Allow everything","Salli kaikki"
"Global Search","Globaali haku"
Marketing,Markkinointi
"SEO & Search","SEO & haku"
"User Content","Käyttäjien sisältö"
Content,Sisältö
Elements,Elementit
Design,Ulkoasu
Schedule,Ajastus
Settings,Asetukset
Attributes,Attribuutit
"Other Settings","Muut asetukset"
"Data Transfer",Tiedonsiirto
"Connect Manager","Yhteyden hallinta"
"Package Extensions","Paketoidut laajennukset"
Tools,Työkalut
"Cache Types Management","Välimuistityyppien hallinta"
"Toggle Cache Type","Vaihda välimuistityyppi"
"Refresh Cache Type","Virkistä välimuistityyppi"
"Catalog Images Cache","Tuoteluettelokuvien välimuisti"
Currency,Valuutta
Communications,Viestinnät
Services,Palvelut
Advanced,Lisäasetukset
"Disable Modules Output","Estä moduulin ulostulo"
"Store Email Addresses","Kaupan sähköpostiosoitteet"
"Custom Email 1","Mukautettava sähköposti 1"
"Sender Email","Lähettäjän sähköposti"
"Sender Name","Lähettäjän nimi"
"Custom Email 2","Mukautettava sähköposti 2"
"General Contact","Yleiset yhteystiedot"
"Sales Representative",Myyntiedustaja
"Customer Support",Asiakastuki
Developer,Kehittäjä
"Template Settings",Malliasetukset
"Allow Symlinks","Salli symboliset linkit"
"Minify Html","Pienennä Html"
"Minification is not applied in developer mode.","Pienentämistä ei sovelleta kehittäjätilassa."
"Translate Inline","Käännä dynaamisesti"
"Enabled for Storefront","Käytössä kaupan Julkisivulla"
"Enabled for Admin","Käytössä järjestelmänvalvojalla"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Kääntäjän, lohkojen ja muiden välimuistien lähtöjen tulisi olla poissa käytöstä sekä kaupan Julkisivulla, että Järjestelmänvalvojan dynaamisissa käännöksissä."
"JavaScript Settings",JavaScript-asetukset
"Merge JavaScript Files","Yhdistä JavaScript tiedostot"
"Enable JavaScript Bundling","Mahdollista JavaScriptien niputtaminen"
"Minify JavaScript Files","Pienennä JavaScript-tiedostot"
"CSS Settings",CSS-asetukset
"Merge CSS Files","Yhdistä CSS-tiedostot"
"Minify CSS Files","Pienennä CSS-tiedostot"
"Image Processing Settings","Kuvien käsittelyn asetukset"
"Image Adapter","Kuva sovitin"
"Static Files Settings","Staattisten tiedostojen asetukset"
"Sign Static Files","Merkitse staattiset tiedostot"
"Country Options",Maa-asetukset
"Allow Countries","Salli maat"
"Default Country",Oletusmaa
"European Union Countries","Euroopan unionin maat"
"Top destinations","Suosituimmat kohteet"
"Locale Options",Kieliasetukset
Timezone,Aikavyöhyke
Locale,Kieli
"First Day of Week","Viikon ensimmäinen päivä"
"Weekend Days","Viikonlopun päivät"
"Store Name","Kaupan nimi"
"Store Phone Number","Kaupan puhelinnumero"
"Store Hours of Operation","Kaupan aukioloajat"
Country,Maa
Region/State,Alue/osavaltio
"ZIP/Postal Code",Postinumero
City,Paikkakunta
"Street Address",Katuosoite
"Street Address Line 2","Katuosoitteen toinen rivi"
"VAT Number",Y-tunnus
"Single-Store Mode","Yhden verkkokaupan -tila"
"Enable Single-Store Mode","Salli Yhden verkkokaupan -tila"
"This setting will not be taken into account if system has more than one store view.","Tätä asetusta ei oteta huomioon, jos järjestelmässä on enemmän kuin yksi kauppanäkymä."
"Mail Sending Settings","Sähköpostin lähetyksen asetukset"
"Disable Email Communications","Poista sähköpostiviestintä käytöstä"
Host,Isäntä
"Port (25)","Portti (25)"
"Set Return-Path","Aseta Return-Path"
"Return-Path Email","Return-Path sähköposti"
"Enable Frontend Resize","Ota käyttöön kuvan rajaaminen käyttöliittymässä"
"Maximum Width","Suurin leveys"
"Maximum Height",Enimmäiskorkeus
"Maximum allowed height for uploaded image.","Suurin sallittu korkeus ladatulle kuvalle."
Admin,Ylläpito
"Admin User Emails","Järjestelmänvalvojan sähköpostit"
"Forgot Password Email Template","""Unohtuiko salasana"" -sähköpostimalli"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Forgot and Reset Email Sender","Salasanan palautusviestin lähettäjä"
"Startup Page",Aloitussivu
"Admin Base URL","Järjestelmänvalvojan Base URL"
"Use Custom Admin URL","Käytä mukautettua järjestelmänvalvojan URL:ia"
"Custom Admin URL","Mukautettu järjestelmänvalvojan URL"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Varmista, että Base URL päättyy ' /' (leikata), esimerkiksi http://yourdomain/magento/"
"Use Custom Admin Path","Käytä mukautettua järjestelmänvalvojan osoitepolkua"
"Custom Admin Path","Mukautettu järjestelmänvalvojan osoitepolku"
"You will have to sign in after you save your custom admin path.","Sinun täytyy kirjautua sisään, kun olet tallentanut mukautetun Järjestelmänvalvojanpolun."
Security,Turvallisuusasetukset
"Recovery Link Expiration Period (hours)","Salasanan palautuslinkin voimassaoloaika (tuntia)"
"Please enter a number 1 or greater in this field.","Syötä numero 1 tai suurempi tähän kenttään."
"Add Secret Key to URLs","Lisää salausavain URL-osoitteisiin"
"Login is Case Sensitive","Kirjautumistunnus on merkkikokoriippuvainen"
"Admin Session Lifetime (seconds)","Järjestelmänvalvojan istunnon kesto (sekuntia)"
"Please enter at least 60 and at most 31536000 (one year).","Syötä vähintään 60 ja enintään 31536000 (vuosi)."
"Enable Charts","Salli diagrammit"
Web,Verkko
"Url Options",Url-asetukset
"Add Store Code to Urls","Lisää kaupan kielikoodi URL-osoitteisiin"
"<strong class=""colorRed"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third-party services (e.g. PayPal etc.).","<strong class=""colorRed"">Varoitus!</strong> Kun käytät kaupan kielikoodia URL-osoitteissa, joissakin tapauksissa on mahdollista ettei järjestelmä toimi oikein, mikäli kolmannen osapuolen palveluissa on määritetty URL-osoitteet ilman kielikoodeja (kuten PayPal jne.)."
"Auto-redirect to Base URL","Automaattisesti uudelleenohjaa Base URL:ään"
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/","Esim. uudelleenohjaa URL:stä http://esimerkki.fi/kauppa/ osoitteeseen http://www.esimerkki.fi/kauppa/"
"Search Engine Optimization",Hakukoneoptimointi
"Use Web Server Rewrites","Käytä Web-palvelimen uudelleenkirjoitus -asetusta"
"Base URLs","Base URL:t"
"Specify URL or {{base_url}} placeholder.","Määritä URL-osoite tai {{base_url}} paikanmerkki."
"Base URL for Static View Files","Base URL staattisen näkymän tiedostoille"
"May be empty or start with {{unsecure_base_url}} placeholder.","Voi olla tyhjä tai alkaa {{unsecure_base_url}} paikanmerkillä."
"Base URL for User Media Files","Base URL käyttäjän mediatiedostoihin"
"Base URLs (Secure)","Base URL:t (turvallinen)"
"Secure Base URL","Suojattu Base URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Määritä URL-osoite tai {{base_url}} tai {{unsecure_base_url}} paikanmerkki."
